7.70E-05,0.00016058,0.000247209,0.000299723,0.000335835,0.000360871,0.00037806,0.000389948,0.000398405,0.000404561,0.000409132,0.000412568,0.00041516,0.000417102,0.000418526,0.00041952,0.000420147,0.000420446,0.000420436,0.000420122,0.000419484,0.00041848,0.000417018,0.000414965,0.000412015,0.000407808,0.000401204,0.000391232,0.000374373,0.000351163,0.000295394,0.000201566,0.000195913
4.12E-05,3.49E-05,3.18E-05,2.89E-05,2.69E-05,2.56E-05,2.50E-05,2.49E-05,2.51E-05,2.55E-05,2.60E-05,2.66E-05,2.73E-05,2.78E-05,2.84E-05,2.89E-05,2.93E-05,2.97E-05,3.00E-05,3.02E-05,3.04E-05,3.06E-05,3.09E-05,3.11E-05,3.15E-05,3.20E-05,3.28E-05,3.38E-05,3.54E-05,3.93E-05,3.98E-05,1.45E-05,8.42E-05
3.95E-05,3.35E-05,3.09E-05,2.83E-05,2.61E-05,2.47E-05,2.38E-05,2.33E-05,2.31E-05,2.32E-05,2.34E-05,2.37E-05,2.41E-05,2.45E-05,2.48E-05,2.52E-05,2.55E-05,2.58E-05,2.61E-05,2.63E-05,2.65E-05,2.68E-05,2.71E-05,2.74E-05,2.79E-05,2.85E-05,2.93E-05,3.03E-05,3.17E-05,3.54E-05,3.55E-05,8.70E-06,7.92E-05
3.67E-05,3.11E-05,2.90E-05,2.64E-05,2.43E-05,2.27E-05,2.16E-05,2.09E-05,2.05E-05,2.03E-05,2.02E-05,2.03E-05,2.04E-05,2.06E-05,2.08E-05,2.10E-05,2.13E-05,2.15E-05,2.17E-05,2.19E-05,2.22E-05,2.24E-05,2.27E-05,2.31E-05,2.36E-05,2.42E-05,2.50E-05,2.59E-05,2.72E-05,3.06E-05,3.04E-05,2.07E-06,7.37E-05
3.33E-05,2.79E-05,2.60E-05,2.36E-05,2.15E-05,1.99E-05,1.87E-05,1.78E-05,1.71E-05,1.67E-05,1.65E-05,1.63E-05,1.63E-05,1.63E-05,1.64E-05,1.65E-05,1.66E-05,1.68E-05,1.69E-05,1.71E-05,1.73E-05,1.76E-05,1.79E-05,1.82E-05,1.87E-05,1.93E-05,2.00E-05,2.08E-05,2.19E-05,2.51E-05,2.46E-05,-5.24E-06,6.81E-05
2.90E-05,2.38E-05,2.22E-05,2.00E-05,1.79E-05,1.63E-05,1.50E-05,1.39E-05,1.32E-05,1.26E-05,1.22E-05,1.19E-05,1.17E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.16E-05,1.17E-05,1.18E-05,1.20E-05,1.22E-05,1.25E-05,1.28E-05,1.32E-05,1.38E-05,1.44E-05,1.51E-05,1.60E-05,1.90E-05,1.82E-05,-1.32E-05,6.22E-05
2.42E-05,1.91E-05,1.77E-05,1.56E-05,1.36E-05,1.19E-05,1.06E-05,9.47E-06,8.57E-06,7.86E-06,7.30E-06,6.87E-06,6.55E-06,6.31E-06,6.15E-06,6.04E-06,5.98E-06,5.96E-06,5.99E-06,6.06E-06,6.18E-06,6.34E-06,6.57E-06,6.85E-06,7.21E-06,7.67E-06,8.22E-06,8.75E-06,9.45E-06,1.24E-05,1.14E-05,-2.17E-05,5.63E-05
1.88E-05,1.37E-05,1.26E-05,1.06E-05,8.58E-06,6.95E-06,5.56E-06,4.38E-06,3.40E-06,2.59E-06,1.93E-06,1.39E-06,9.55E-07,6.11E-07,3.44E-07,1.43E-07,0,-9.09E-08,-1.33E-07,-1.26E-07,-7.11E-08,3.53E-08,1.97E-07,4.19E-07,7.05E-07,1.07E-06,1.52E-06,1.91E-06,2.44E-06,5.25E-06,4.08E-06,-3.08E-05,5.02E-05
1.28E-05,7.75E-06,6.83E-06,4.91E-06,2.98E-06,1.36E-06,-4.08E-08,-1.26E-06,-2.30E-06,-3.19E-06,-3.94E-06,-4.58E-06,-5.10E-06,-5.54E-06,-5.90E-06,-6.18E-06,-6.41E-06,-6.57E-06,-6.69E-06,-6.75E-06,-6.76E-06,-6.72E-06,-6.62E-06,-6.48E-06,-6.27E-06,-6.00E-06,-5.67E-06,-5.40E-06,-5.02E-06,-2.29E-06,-3.60E-06,-4.04E-05,4.40E-05
6.34E-06,1.27E-06,5.47E-07,-1.27E-06,-3.16E-06,-4.76E-06,-6.17E-06,-7.41E-06,-8.51E-06,-9.46E-06,-1.03E-05,-1.10E-05,-1.16E-05,-1.21E-05,-1.26E-05,-1.29E-05,-1.32E-05,-1.35E-05,-1.37E-05,-1.38E-05,-1.39E-05,-1.39E-05,-1.39E-05,-1.38E-05,-1.37E-05,-1.35E-05,-1.33E-05,-1.31E-05,-1.29E-05,-1.02E-05,-1.16E-05,-5.05E-05,3.78E-05
-5.72E-07,-5.67E-06,-6.21E-06,-7.94E-06,-9.78E-06,-1.14E-05,-1.28E-05,-1.40E-05,-1.52E-05,-1.62E-05,-1.71E-05,-1.78E-05,-1.85E-05,-1.91E-05,-1.96E-05,-2.01E-05,-2.05E-05,-2.08E-05,-2.10E-05,-2.12E-05,-2.14E-05,-2.15E-05,-2.15E-05,-2.15E-05,-2.15E-05,-2.14E-05,-2.13E-05,-2.13E-05,-2.12E-05,-1.85E-05,-2.00E-05,-6.11E-05,3.16E-05
